fin_main_sw,cap_load,frf,fin_battery_cap,Rout_LNA,Current Consumption,Output PP Amplitude,Tracking Bandwidth (GHz),ENOB,SNR,SFDR
2,8E-15,3.64E+10,90,58,1.08E-04,6.61E-01,7.458,8.102,50.54,50.65
2,8E-15,3.64E+10,80,58,1.08E-04,6.68E-01,7.53,8.008,49.97,50.08
2,8E-15,3.64E+10,80,58,1.08E-04,6.68E-01,7.53,8.008,49.97,50.08
2,8E-15,3.64E+10,70,58,1.08E-04,6.76E-01,7.6,7.911,49.39,49.5
2,8E-15,3.24E+10,90,58,1.08E-04,7.08E-01,7.458,8.779,54.62,54.73
2,8E-15,3.64E+10,90,45,1.08E-04,7.09E-01,7.644,8.121,50.66,50.77
2,8E-15,3.64E+10,80,45,1.08E-04,7.15E-01,7.702,8.012,50,50.11
2,8E-15,3.64E+10,80,45,1.08E-04,7.15E-01,7.702,8.012,50,50.11
2,8E-15,3.24E+10,80,58,1.08E-04,7.16E-01,7.53,8.861,55.11,55.23
2,8E-15,3.24E+10,80,58,1.08E-04,7.16E-01,7.53,8.861,55.11,55.23
2,8E-15,3.64E+10,70,45,1.08E-04,7.22E-01,7.759,7.903,49.34,49.45
2,8E-15,3.24E+10,70,58,1.08E-04,7.26E-01,7.6,8.991,55.89,56.02
2,8E-15,3.64E+10,90,38,1.08E-04,7.36E-01,7.746,8.085,50.44,50.55
2,6E-15,3.64E+10,90,58,1.08E-04,7.38E-01,9.375,8.474,52.78,52.91
2,6E-15,3.64E+10,90,58,1.08E-04,7.38E-01,9.375,8.474,52.78,52.91
2,8E-15,3.64E+10,80,38,1.08E-04,7.41E-01,7.796,7.969,49.74,49.85
2,8E-15,3.64E+10,80,38,1.08E-04,7.41E-01,7.796,7.969,49.74,49.85
2,6E-15,3.64E+10,80,58,1.08E-04,7.46E-01,9.499,8.301,51.74,51.86
2,6E-15,3.64E+10,80,58,1.08E-04,7.46E-01,9.499,8.301,51.74,51.86
2,6E-15,3.64E+10,80,58,1.08E-04,7.46E-01,9.499,8.301,51.74,51.86
2,6E-15,3.64E+10,80,58,1.08E-04,7.46E-01,9.499,8.301,51.74,51.86
2,8E-15,3.64E+10,70,38,1.08E-04,7.47E-01,7.845,7.849,49.02,49.13
2,8E-15,3.24E+10,90,45,1.08E-04,7.54E-01,7.644,8.805,54.77,54.89
2,6E-15,3.64E+10,70,58,1.08E-04,7.57E-01,9.623,8.14,50.77,50.89
2,6E-15,3.64E+10,70,58,1.08E-04,7.57E-01,9.623,8.14,50.77,50.89
2,8E-15,3.24E+10,80,45,1.08E-04,7.61E-01,7.702,8.899,55.34,55.46
2,8E-15,3.24E+10,80,45,1.08E-04,7.61E-01,7.702,8.899,55.34,55.46
2,8E-15,2.84E+10,90,58,1.08E-04,7.61E-01,7.458,8.485,52.84,52.95
2,8E-15,3.24E+10,70,45,1.08E-04,7.67E-01,7.759,9.044,56.21,56.33
2,8E-15,2.84E+10,80,58,1.08E-04,7.70E-01,7.53,8.395,52.3,52.41
2,8E-15,2.84E+10,80,58,1.08E-04,7.70E-01,7.53,8.395,52.3,52.41
2,8E-15,2.84E+10,70,58,1.08E-04,7.80E-01,7.6,8.318,51.84,51.95
4,8E-15,3.64E+10,90,58,1.09E-04,7.80E-01,12.06,9.585,59.47,59.73
4,8E-15,3.64E+10,90,58,1.09E-04,7.80E-01,12.06,9.585,59.47,59.73
2,8E-15,3.24E+10,90,38,1.08E-04,7.81E-01,7.746,8.715,54.23,54.34
2,6E-15,3.24E+10,90,58,1.08E-04,7.82E-01,9.375,8.793,54.7,54.82
2,6E-15,3.24E+10,90,58,1.08E-04,7.82E-01,9.375,8.793,54.7,54.82
2,8E-15,3.24E+10,80,38,1.08E-04,7.86E-01,7.796,8.786,54.66,54.77
2,8E-15,3.24E+10,80,38,1.08E-04,7.86E-01,7.796,8.786,54.66,54.77
4,8E-15,3.64E+10,80,58,1.10E-04,7.89E-01,12.26,9.278,57.62,57.83
4,8E-15,3.64E+10,80,58,1.10E-04,7.89E-01,12.26,9.278,57.62,57.83
4,8E-15,3.64E+10,80,58,1.10E-04,7.89E-01,12.26,9.278,57.62,57.83
4,8E-15,3.64E+10,80,58,1.10E-04,7.89E-01,12.26,9.278,57.62,57.83
2,6E-15,3.64E+10,90,45,1.08E-04,7.90E-01,9.682,8.304,51.76,51.87
2,6E-15,3.64E+10,90,45,1.08E-04,7.90E-01,9.682,8.304,51.76,51.87
2,6E-15,3.24E+10,80,58,1.08E-04,7.91E-01,9.499,8.695,54.11,54.23
2,6E-15,3.24E+10,80,58,1.08E-04,7.91E-01,9.499,8.695,54.11,54.23
2,6E-15,3.24E+10,80,58,1.08E-04,7.91E-01,9.499,8.695,54.11,54.23
2,6E-15,3.24E+10,80,58,1.08E-04,7.91E-01,9.499,8.695,54.11,54.23
2,8E-15,3.24E+10,70,38,1.08E-04,7.92E-01,7.845,8.901,55.35,55.47
2,6E-15,3.64E+10,80,45,1.08E-04,7.97E-01,9.786,8.137,50.75,50.87
2,6E-15,3.64E+10,80,45,1.08E-04,7.97E-01,9.786,8.137,50.75,50.87
2,6E-15,3.64E+10,80,45,1.08E-04,7.97E-01,9.786,8.137,50.75,50.87
2,6E-15,3.64E+10,80,45,1.08E-04,7.97E-01,9.786,8.137,50.75,50.87
2,8E-15,2.56E+10,90,58,1.07E-04,7.99E-01,7.458,7.662,47.89,48
4,8E-15,3.64E+10,70,58,1.10E-04,8.00E-01,12.48,8.995,55.92,56.09
4,8E-15,3.64E+10,70,58,1.10E-04,8.00E-01,12.48,8.995,55.92,56.09
2,6E-15,3.24E+10,70,58,1.08E-04,8.02E-01,9.623,8.602,53.55,53.67
2,6E-15,3.24E+10,70,58,1.08E-04,8.02E-01,9.623,8.602,53.55,53.67
2,8E-15,2.84E+10,90,45,1.08E-04,8.06E-01,7.644,8.262,51.5,51.61
2,6E-15,3.64E+10,70,45,1.08E-04,8.06E-01,9.889,7.981,49.81,49.93
2,6E-15,3.64E+10,70,45,1.08E-04,8.06E-01,9.889,7.981,49.81,49.93
2,8E-15,2.56E+10,80,58,1.08E-04,8.11E-01,7.53,7.73,48.3,48.41
2,8E-15,2.56E+10,80,58,1.08E-04,8.11E-01,7.53,7.73,48.3,48.41
2,8E-15,2.84E+10,80,45,1.08E-04,8.13E-01,7.702,8.19,51.07,51.18
2,8E-15,2.84E+10,80,45,1.08E-04,8.13E-01,7.702,8.19,51.07,51.18
6,8E-15,3.64E+10,90,58,1.11E-04,8.16E-01,15.07,8.412,52.41,52.56
2,6E-15,3.64E+10,90,38,1.08E-04,8.19E-01,9.853,8.231,51.32,51.43
2,6E-15,3.64E+10,90,38,1.08E-04,8.19E-01,9.853,8.231,51.32,51.43
2,4E-15,3.64E+10,90,58,1.08E-04,8.20E-01,12.74,8.807,54.79,54.95
2,8E-15,2.84E+10,70,45,1.08E-04,8.22E-01,7.759,8.128,50.69,50.8
4,8E-15,3.24E+10,90,58,1.09E-04,8.24E-01,12.06,8.335,51.94,52.06
4,8E-15,3.24E+10,90,58,1.09E-04,8.24E-01,12.06,8.335,51.94,52.06
2,8E-15,2.56E+10,70,58,1.08E-04,8.24E-01,7.6,7.828,48.89,49.01
6,8E-15,3.64E+10,80,58,1.11E-04,8.24E-01,15.36,8.532,53.13,53.29
6,8E-15,3.64E+10,80,58,1.11E-04,8.24E-01,15.36,8.532,53.13,53.29
4,6E-15,3.64E+10,90,58,1.09E-04,8.26E-01,14.53,8.529,53.11,53.27
4,6E-15,3.64E+10,90,58,1.09E-04,8.26E-01,14.53,8.529,53.11,53.27
4,6E-15,3.64E+10,90,58,1.09E-04,8.26E-01,14.53,8.529,53.11,53.27
4,6E-15,3.64E+10,90,58,1.09E-04,8.26E-01,14.53,8.529,53.11,53.27
2,6E-15,3.64E+10,80,38,1.08E-04,8.26E-01,9.944,8.065,50.32,50.43
2,6E-15,3.64E+10,80,38,1.08E-04,8.26E-01,9.944,8.065,50.32,50.43
2,6E-15,3.64E+10,80,38,1.08E-04,8.26E-01,9.944,8.065,50.32,50.43
2,6E-15,3.64E+10,80,38,1.08E-04,8.26E-01,9.944,8.065,50.32,50.43
2,6E-15,2.84E+10,90,58,1.08E-04,8.30E-01,9.375,8.356,52.07,52.18
2,6E-15,2.84E+10,90,58,1.08E-04,8.30E-01,9.375,8.356,52.07,52.18
2,4E-15,3.64E+10,80,58,1.08E-04,8.31E-01,12.97,8.686,54.06,54.21
2,4E-15,3.64E+10,80,58,1.08E-04,8.31E-01,12.97,8.686,54.06,54.21
2,8E-15,2.84E+10,90,38,1.08E-04,8.31E-01,7.746,8.126,50.68,50.79
2,6E-15,3.24E+10,90,45,1.08E-04,8.32E-01,9.682,8.368,52.14,52.25
2,6E-15,3.24E+10,90,45,1.08E-04,8.32E-01,9.682,8.368,52.14,52.25
4,8E-15,3.24E+10,80,58,1.10E-04,8.32E-01,12.26,8.195,51.1,51.21
4,8E-15,3.24E+10,80,58,1.10E-04,8.32E-01,12.26,8.195,51.1,51.21
4,8E-15,3.24E+10,80,58,1.10E-04,8.32E-01,12.26,8.195,51.1,51.21
4,8E-15,3.24E+10,80,58,1.10E-04,8.32E-01,12.26,8.195,51.1,51.21
2,6E-15,3.64E+10,70,38,1.08E-04,8.34E-01,10.03,7.91,49.39,49.5
2,6E-15,3.64E+10,70,38,1.08E-04,8.34E-01,10.03,7.91,49.39,49.5
6,8E-15,3.64E+10,70,58,1.11E-04,8.36E-01,15.69,8.611,53.6,53.77
4,6E-15,3.64E+10,80,58,1.10E-04,8.36E-01,14.81,8.582,53.43,53.59
4,6E-15,3.64E+10,80,58,1.10E-04,8.36E-01,14.81,8.582,53.43,53.59
4,6E-15,3.64E+10,80,58,1.10E-04,8.36E-01,14.81,8.582,53.43,53.59
4,6E-15,3.64E+10,80,58,1.10E-04,8.36E-01,14.81,8.582,53.43,53.59
4,6E-15,3.64E+10,80,58,1.10E-04,8.36E-01,14.81,8.582,53.43,53.59
4,6E-15,3.64E+10,80,58,1.10E-04,8.36E-01,14.81,8.582,53.43,53.59
4,6E-15,3.64E+10,80,58,1.10E-04,8.36E-01,14.81,8.582,53.43,53.59
4,6E-15,3.64E+10,80,58,1.10E-04,8.36E-01,14.81,8.582,53.43,53.59
2,8E-15,2.84E+10,80,38,1.08E-04,8.38E-01,7.796,8.063,50.3,50.41
2,8E-15,2.84E+10,80,38,1.08E-04,8.38E-01,7.796,8.063,50.3,50.41
2,6E-15,3.24E+10,80,45,1.08E-04,8.40E-01,9.786,8.275,51.58,51.69
2,6E-15,3.24E+10,80,45,1.08E-04,8.40E-01,9.786,8.275,51.58,51.69
2,6E-15,3.24E+10,80,45,1.08E-04,8.40E-01,9.786,8.275,51.58,51.69
2,6E-15,3.24E+10,80,45,1.08E-04,8.40E-01,9.786,8.275,51.58,51.69
4,8E-15,3.64E+10,90,45,1.10E-04,8.40E-01,12.66,8.917,55.44,55.6
4,8E-15,3.64E+10,90,45,1.10E-04,8.40E-01,12.66,8.917,55.44,55.6
2,6E-15,2.84E+10,80,58,1.08E-04,8.41E-01,9.499,8.271,51.56,51.67
2,6E-15,2.84E+10,80,58,1.08E-04,8.41E-01,9.499,8.271,51.56,51.67
2,6E-15,2.84E+10,80,58,1.08E-04,8.41E-01,9.499,8.271,51.56,51.67
2,6E-15,2.84E+10,80,58,1.08E-04,8.41E-01,9.499,8.271,51.56,51.67
2,8E-15,2.56E+10,90,45,1.07E-04,8.41E-01,7.644,7.69,48.06,48.17
2,4E-15,3.64E+10,70,58,1.08E-04,8.43E-01,13.2,8.524,53.08,53.23
4,8E-15,3.24E+10,70,58,1.10E-04,8.44E-01,12.48,8.044,50.19,50.3
4,8E-15,3.24E+10,70,58,1.10E-04,8.44E-01,12.48,8.044,50.19,50.3
2,8E-15,2.84E+10,70,38,1.08E-04,8.45E-01,7.845,8.007,49.97,50.08
4,8E-15,3.64E+10,80,45,1.10E-04,8.49E-01,12.84,8.801,54.75,54.89
4,8E-15,3.64E+10,80,45,1.10E-04,8.49E-01,12.84,8.801,54.75,54.89
4,8E-15,3.64E+10,80,45,1.10E-04,8.49E-01,12.84,8.801,54.75,54.89
4,8E-15,3.64E+10,80,45,1.10E-04,8.49E-01,12.84,8.801,54.75,54.89
4,6E-15,3.64E+10,70,58,1.10E-04,8.49E-01,15.12,8.575,53.39,53.55
4,6E-15,3.64E+10,70,58,1.10E-04,8.49E-01,15.12,8.575,53.39,53.55
4,6E-15,3.64E+10,70,58,1.10E-04,8.49E-01,15.12,8.575,53.39,53.55
4,6E-15,3.64E+10,70,58,1.10E-04,8.49E-01,15.12,8.575,53.39,53.55
2,6E-15,3.24E+10,70,45,1.08E-04,8.49E-01,9.889,8.184,51.03,51.14
2,6E-15,3.24E+10,70,45,1.08E-04,8.49E-01,9.889,8.184,51.03,51.14
2,8E-15,2.56E+10,80,45,1.08E-04,8.51E-01,7.702,7.778,48.59,48.7
2,8E-15,2.56E+10,80,45,1.08E-04,8.51E-01,7.702,7.778,48.59,48.7
6,6E-15,3.64E+10,90,58,1.11E-04,8.51E-01,17.76,7.623,47.66,47.78
6,6E-15,3.64E+10,90,58,1.11E-04,8.51E-01,17.76,7.623,47.66,47.78
2,6E-15,2.84E+10,70,58,1.08E-04,8.53E-01,9.623,8.186,51.04,51.15
2,6E-15,2.84E+10,70,58,1.08E-04,8.53E-01,9.623,8.186,51.04,51.15
6,8E-15,3.24E+10,90,58,1.11E-04,8.54E-01,15.07,7.94,49.56,49.68
2,8E-15,2.44E+10,90,58,1.08E-04,8.56E-01,7.458,7.44,46.55,46.66
2,6E-15,2.56E+10,90,58,1.07E-04,8.58E-01,9.375,7.488,46.84,46.96
2,6E-15,2.56E+10,90,58,1.07E-04,8.58E-01,9.375,7.488,46.84,46.96
4,8E-15,3.64E+10,70,45,1.10E-04,8.58E-01,13.02,8.62,53.66,53.8
4,8E-15,3.64E+10,70,45,1.10E-04,8.58E-01,13.02,8.62,53.66,53.8
2,4E-15,3.24E+10,90,58,1.08E-04,8.60E-01,12.74,8.03,50.11,50.22
6,6E-15,3.64E+10,80,58,1.11E-04,8.60E-01,18.16,7.693,48.08,48.2
6,6E-15,3.64E+10,80,58,1.11E-04,8.60E-01,18.16,7.693,48.08,48.2
6,6E-15,3.64E+10,80,58,1.11E-04,8.60E-01,18.16,7.693,48.08,48.2
6,6E-15,3.64E+10,80,58,1.11E-04,8.60E-01,18.16,7.693,48.08,48.2
2,6E-15,3.24E+10,90,38,1.08E-04,8.61E-01,9.853,8.201,51.13,51.24
2,6E-15,3.24E+10,90,38,1.08E-04,8.61E-01,9.853,8.201,51.13,51.24
2,8E-15,2.44E+10,80,58,1.08E-04,8.61E-01,7.53,7.427,46.48,46.58
2,8E-15,2.44E+10,80,58,1.08E-04,8.61E-01,7.53,7.427,46.48,46.58
2,8E-15,2.56E+10,70,45,1.08E-04,8.61E-01,7.759,7.902,49.34,49.45
4,6E-15,3.24E+10,90,58,1.09E-04,8.64E-01,14.53,7.897,49.31,49.42
4,6E-15,3.24E+10,90,58,1.09E-04,8.64E-01,14.53,7.897,49.31,49.42
4,6E-15,3.24E+10,90,58,1.09E-04,8.64E-01,14.53,7.897,49.31,49.42
4,6E-15,3.24E+10,90,58,1.09E-04,8.64E-01,14.53,7.897,49.31,49.42
6,8E-15,3.24E+10,80,58,1.11E-04,8.64E-01,15.36,7.819,48.83,48.95
6,8E-15,3.24E+10,80,58,1.11E-04,8.64E-01,15.36,7.819,48.83,48.95
2,8E-15,2.56E+10,90,38,1.07E-04,8.64E-01,7.746,7.685,48.03,48.14
4,8E-15,2.84E+10,90,58,1.10E-04,8.65E-01,12.06,8.67,53.96,54.09
4,8E-15,2.84E+10,90,58,1.10E-04,8.65E-01,12.06,8.67,53.96,54.09
2,8E-15,2.44E+10,70,58,1.08E-04,8.67E-01,7.6,7.424,46.46,46.56
2,6E-15,3.24E+10,80,38,1.08E-04,8.67E-01,9.944,8.108,50.58,50.69
2,6E-15,3.24E+10,80,38,1.08E-04,8.67E-01,9.944,8.108,50.58,50.69
2,6E-15,3.24E+10,80,38,1.08E-04,8.67E-01,9.944,8.108,50.58,50.69
2,6E-15,3.24E+10,80,38,1.08E-04,8.67E-01,9.944,8.108,50.58,50.69
2,6E-15,2.56E+10,80,58,1.08E-04,8.70E-01,9.499,7.581,47.4,47.53
2,6E-15,2.56E+10,80,58,1.08E-04,8.70E-01,9.499,7.581,47.4,47.53
2,6E-15,2.56E+10,80,58,1.08E-04,8.70E-01,9.499,7.581,47.4,47.53
2,6E-15,2.56E+10,80,58,1.08E-04,8.70E-01,9.499,7.581,47.4,47.53
2,4E-15,3.24E+10,80,58,1.08E-04,8.70E-01,12.97,7.901,49.33,49.44
2,4E-15,3.24E+10,80,58,1.08E-04,8.70E-01,12.97,7.901,49.33,49.44
6,6E-15,3.64E+10,70,58,1.11E-04,8.72E-01,18.62,7.735,48.33,48.46
6,6E-15,3.64E+10,70,58,1.11E-04,8.72E-01,18.62,7.735,48.33,48.46
2,8E-15,2.56E+10,80,38,1.08E-04,8.73E-01,7.796,7.785,48.63,48.74
2,8E-15,2.56E+10,80,38,1.08E-04,8.73E-01,7.796,7.785,48.63,48.74
4,4E-15,3.64E+10,90,58,1.09E-04,8.73E-01,18.49,7.493,46.87,46.99
4,4E-15,3.64E+10,90,58,1.09E-04,8.73E-01,18.49,7.493,46.87,46.99
4,8E-15,3.64E+10,90,38,1.10E-04,8.75E-01,13,8.575,53.39,53.52
4,8E-15,3.64E+10,90,38,1.10E-04,8.75E-01,13,8.575,53.39,53.52
4,6E-15,3.24E+10,80,58,1.10E-04,8.75E-01,14.81,7.775,48.57,48.68
4,6E-15,3.24E+10,80,58,1.10E-04,8.75E-01,14.81,7.775,48.57,48.68
4,6E-15,3.24E+10,80,58,1.10E-04,8.75E-01,14.81,7.775,48.57,48.68
4,6E-15,3.24E+10,80,58,1.10E-04,8.75E-01,14.81,7.775,48.57,48.68
4,6E-15,3.24E+10,80,58,1.10E-04,8.75E-01,14.81,7.775,48.57,48.68
4,6E-15,3.24E+10,80,58,1.10E-04,8.75E-01,14.81,7.775,48.57,48.68
4,6E-15,3.24E+10,80,58,1.10E-04,8.75E-01,14.81,7.775,48.57,48.68
4,6E-15,3.24E+10,80,58,1.10E-04,8.75E-01,14.81,7.775,48.57,48.68
2,6E-15,3.24E+10,70,38,1.08E-04,8.75E-01,10.03,8.017,50.03,50.14
2,6E-15,3.24E+10,70,38,1.08E-04,8.75E-01,10.03,8.017,50.03,50.14
2,4E-15,3.64E+10,90,45,1.08E-04,8.76E-01,13.32,8.335,51.94,52.07
4,8E-15,2.84E+10,80,58,1.10E-04,8.76E-01,12.26,8.614,53.62,53.75
4,8E-15,2.84E+10,80,58,1.10E-04,8.76E-01,12.26,8.614,53.62,53.75
4,8E-15,2.84E+10,80,58,1.10E-04,8.76E-01,12.26,8.614,53.62,53.75
4,8E-15,2.84E+10,80,58,1.10E-04,8.76E-01,12.26,8.614,53.62,53.75
6,8E-15,3.24E+10,70,58,1.11E-04,8.77E-01,15.69,7.676,47.97,48.09
2,6E-15,2.84E+10,90,45,1.08E-04,8.78E-01,9.682,8.106,50.56,50.67
2,6E-15,2.84E+10,90,45,1.08E-04,8.78E-01,9.682,8.106,50.56,50.67
6,8E-15,3.64E+10,90,45,1.11E-04,8.79E-01,16.1,7.939,49.56,49.68
4,8E-15,3.24E+10,90,45,1.09E-04,8.79E-01,12.66,7.982,49.82,49.93
4,8E-15,3.24E+10,90,45,1.09E-04,8.79E-01,12.66,7.982,49.82,49.93
2,8E-15,2.56E+10,70,38,1.08E-04,8.82E-01,7.845,7.923,49.46,49.58
4,8E-15,3.64E+10,80,38,1.10E-04,8.82E-01,13.16,8.5,52.94,53.07
4,8E-15,3.64E+10,80,38,1.10E-04,8.82E-01,13.16,8.5,52.94,53.07
4,8E-15,3.64E+10,80,38,1.10E-04,8.82E-01,13.16,8.5,52.94,53.07
4,8E-15,3.64E+10,80,38,1.10E-04,8.82E-01,13.16,8.5,52.94,53.07
4,4E-15,3.64E+10,80,58,1.10E-04,8.83E-01,18.93,7.537,47.14,47.26
4,4E-15,3.64E+10,80,58,1.10E-04,8.83E-01,18.93,7.537,47.14,47.26
4,4E-15,3.64E+10,80,58,1.10E-04,8.83E-01,18.93,7.537,47.14,47.26
4,4E-15,3.64E+10,80,58,1.10E-04,8.83E-01,18.93,7.537,47.14,47.26
2,4E-15,3.24E+10,70,58,1.08E-04,8.84E-01,13.2,7.757,48.46,48.58
2,6E-15,2.56E+10,70,58,1.08E-04,8.84E-01,9.623,7.69,48.06,48.19
2,6E-15,2.56E+10,70,58,1.08E-04,8.84E-01,9.623,7.69,48.06,48.19
6,6E-15,3.24E+10,90,58,1.11E-04,8.85E-01,17.76,7.533,47.12,47.23
6,6E-15,3.24E+10,90,58,1.11E-04,8.85E-01,17.76,7.533,47.12,47.23
2,4E-15,3.64E+10,80,45,1.08E-04,8.85E-01,13.51,8.27,51.55,51.68
2,4E-15,3.64E+10,80,45,1.08E-04,8.85E-01,13.51,8.27,51.55,51.68
6,4E-15,3.64E+10,90,58,1.11E-04,8.86E-01,21.89,6.951,43.61,43.72
4,6E-15,3.64E+10,90,45,1.10E-04,8.87E-01,15.4,8.014,50.01,50.14
4,6E-15,3.64E+10,90,45,1.10E-04,8.87E-01,15.4,8.014,50.01,50.14
4,6E-15,3.64E+10,90,45,1.10E-04,8.87E-01,15.4,8.014,50.01,50.14
4,6E-15,3.64E+10,90,45,1.10E-04,8.87E-01,15.4,8.014,50.01,50.14
2,8E-15,2.44E+10,90,45,1.08E-04,8.87E-01,7.644,7.237,45.33,45.44
2,6E-15,2.84E+10,80,45,1.08E-04,8.87E-01,9.786,8.038,50.15,50.26
2,6E-15,2.84E+10,80,45,1.08E-04,8.87E-01,9.786,8.038,50.15,50.26
2,6E-15,2.84E+10,80,45,1.08E-04,8.87E-01,9.786,8.038,50.15,50.26
2,6E-15,2.84E+10,80,45,1.08E-04,8.87E-01,9.786,8.038,50.15,50.26
6,8E-15,3.64E+10,80,45,1.11E-04,8.88E-01,16.36,8.015,50.01,50.14
6,8E-15,3.64E+10,80,45,1.11E-04,8.88E-01,16.36,8.015,50.01,50.14
